genomes,primary_dbxref,displayname,uniquename,stx1_subtype,stx2_subtype,isolation_host,strain,serotype,isolation_date,isolation_source,syndrome,isolation_location
public_2781391,genbank: CCQL00000000.1,26 Str. E. coli (2781391),26 Str. E. coli (2781391),1a,undefined,Homo sapiens (human),29755,26,2009-09-08,Stool,undefined,Norway
public_2555649,genbank: ADTP00000000.1,MS 69-1,MS 69-1,undefined,undefined,Homo sapiens (human),MS 69-1,undefined,undefined,Intestine,Crohn's Disease,undefined
public_2808602,genbank: JHIR00000000.1,O157:H7 Str. K2622,O157:H7 Str. K2622,1a,2a,undefined,K2622,O157:H7,undefined,undefined,undefined,United States
public_2755848,genbank: AXOC00000000.1,GSK2022,GSK2022,undefined,undefined,Homo sapiens (human),GSK2022,undefined,2011-01-01,Blood,undefined,Spain
public_2740826,genbank: ASHA00000000.1,O157 Str. NCCP15739,O157 Str. NCCP15739,1a,2a,Homo sapiens (human),NCCP:15739,O157,undefined,undefined,undefined,South Korea
public_2728463,genbank: AQBZ00000000.1,p0305293.4,p0305293.4,undefined,undefined,Homo sapiens (human),p0305293.4,undefined,undefined,undefined,undefined,Bangladesh
public_2681434,genbank: ANTP00000000.1,KTE213,KTE213,undefined,undefined,Homo sapiens (human),KTE213,undefined,2010-01-01,undefined,undefined,undefined
public_2607993,genbank: AIGY00000000.1,DEC11D,DEC11D,undefined,undefined,Homo sapiens (human),DEC11D,O128:H2,1989-01-01,undefined,undefined,United Kingdom
public_2690207,genbank: AOEV00000000.1,99.0670,99.0670,1a,2a,Bos taurus (cow),99.067,O157:H7,1999-01-01,undefined,undefined,United States
public_2592597,genbank: AIAX00000000.1,C40_11,C40_11,undefined,undefined,Homo sapiens (human),C40_11,undefined,undefined,Stool,undefined,Denmark
public_2782283,genbank: CCQP00000000.1,NA Str. E. coli (2782283),NA Str. E. coli (2782283),1c,undefined,Homo sapiens (human),29755,NA,2010-02-16,Stool,undefined,Norway
public_2780355,genbank: CCQE00000000.1,103 Str. E. coli (2780355),103 Str. E. coli (2780355),undefined,undefined,Sausage,E. coli,103,2006-01-01,Meat,undefined,Norway
public_2622075,genbank: AKKZ00000000.1,FRIK1985,FRIK1985,1a,2c,Bos taurus (cow),FRIK1985,O157:H7,1991-01-01,undefined,undefined,United States
public_2569940,genbank: AEZI00000000.2,1.2741,1.2741,multiple,2g,Bos taurus (cow),1.2741,undefined,undefined,undefined,undefined,undefined
public_2878548,genbank: JORY00000000.1,7-233-03_S3_C2,7-233-03_S3_C2,undefined,undefined,Homo sapiens (human),7-233-03_S3_C2,undefined,2009-04-28,Stool,undefined,Tanzania
public_2770074,genbank: AZJK00000000.1,HVH 23 (4-6066488),HVH 23 (4-6066488),undefined,undefined,Homo sapiens (human),HVH 23 4-6066488,undefined,2004-01-01,Blood,Urinary tract infection (cystitis),Denmark
public_2871059,genbank: JOMZ00000000.1,2-460-02_S1_C3,2-460-02_S1_C3,undefined,undefined,Homo sapiens (human),2-460-02_S1_C3,undefined,2009-01-23,Stool,undefined,Tanzania
public_2876018,genbank: JORH00000000.1,6-319-05_S4_C2,6-319-05_S4_C2,undefined,undefined,Homo sapiens (human),6-319-05_S4_C2,undefined,2009-07-07,Stool,undefined,Tanzania
public_2818727,genbank: JHLA00000000.1,O69:H11 Str. 07-4281,O69:H11 Str. 07-4281,undefined,undefined,undefined,07-4281,O69:H11,undefined,undefined,undefined,United States
public_2597054,genbank: AIBL00000000.1,C725_88,C725_88,undefined,undefined,Homo sapiens (human),C725_88,undefined,undefined,Stool,undefined,Germany
public_2808283,genbank: JHIO00000000.1,O157:H7 Str. K4396,O157:H7 Str. K4396,1a,undefined,undefined,K4396,O157:H7,undefined,undefined,undefined,United States
public_2715724,genbank: APZH00000000.1,P0302308.5,P0302308.5,undefined,undefined,Homo sapiens (human),P0302308.5,undefined,2011-03-01,Stool,undefined,Bangladesh
public_2742867,genbank: ASZS00000000.1,O127:H6 Str. E2348/69 substr. UMD753,O127:H6 Str. E2348/69 substr. UMD753,undefined,undefined,Homo sapiens (human),UMD753,O127:H6,1969-01-01,Stool,undefined,"Taunton, Taunton, Somerset, UK"
public_2738987,genbank: AQEX00000000.1,MP021017.1,MP021017.1,undefined,undefined,Homo sapiens (human),MP021017.1,undefined,undefined,Stool,undefined,Bangladesh
public_2820013,genbank: JHLH00000000.1,O157:H7 Str. 2011EL-2091,O157:H7 Str. 2011EL-2091,undefined,2a,undefined,2011EL-2091,O157:H7,undefined,undefined,undefined,United States
public_2778601,genbank: CCPU00000000.1,NA Str. E. coli (2778601),NA Str. E. coli (2778601),1c,undefined,Ovis aries (sheep),E. coli,NA,2009-05-01,Stool,undefined,Norway
public_2605731,genbank: AIFS00000000.1,DEC5C,DEC5C,undefined,undefined,Homo sapiens (human),DEC5C,O55:H7,1966-01-01,undefined,undefined,"New Jersey, USA"
public_2873204,genbank: JOQM00000000.1,5-366-08_S4_C2,5-366-08_S4_C2,undefined,undefined,Homo sapiens (human),5-366-08_S4_C2,undefined,2009-07-14,Stool,undefined,Tanzania
public_2582041,genbank: AHHK00000000.1,ECA-0157,ECA-0157,undefined,undefined,Bos taurus (cow),ECA-0157,undefined,undefined,transient mastitis,Mastitis,"New York, NY, USA"
public_2730632,genbank: AQCO00000000.1,MP021017.9,MP021017.9,undefined,undefined,Homo sapiens (human),MP021017.9,undefined,2011-03-01,Stool,undefined,Bangladesh
public_2627176,genbank: AKLI00000000.1,PA22,PA22,1a,2c,Homo sapiens (human),PA22,O157:H7,2007-01-01,undefined,undefined,United States
public_2824771,genbank: JHME00000000.1,O157: Str. 2010EL-2044,O157: Str. 2010EL-2044,1a,2a,undefined,2010EL-2044,O157:NA,undefined,undefined,undefined,United States
public_2832711,genbank: JHNS00000000.1,O111:NM Str. 04-3211,O111:NM Str. 04-3211,1a,undefined,undefined,04-3211,O111:NM,undefined,undefined,undefined,United States
public_2687398,genbank: AOEE00000000.1,99.1775,99.1775,1a,undefined,Homo sapiens (human),99.1775,O157:H7,1999-01-01,undefined,undefined,United States
public_2853342,genbank: JNNE00000000.1,2-052-05_S1_C3,2-052-05_S1_C3,undefined,undefined,Homo sapiens (human),2-052-05_S1_C3,undefined,2009-01-23,Stool,undefined,Tanzania
public_2673145,genbank: ANLO00000000.1,93.0056,93.0056,1a,undefined,Environmental source,93.0056,O157:H7,1993-01-01,Meat-based food,undefined,United States
public_2792335,genbank: JHFB00000000.1,O26:NM Str. 2010C-4347,O26:NM Str. 2010C-4347,1a,undefined,undefined,2010C-4347,O26:NM,undefined,undefined,undefined,United States
public_2729730,genbank: AQCE00000000.1,p0305293.9,p0305293.9,undefined,undefined,Homo sapiens (human),p0305293.9,undefined,undefined,Stool,undefined,Bangladesh
public_2550960,genbank: ABHS00000000.1,O157:H7 Str. EC4486,O157:H7 Str. EC4486,undefined,2a,undefined,EC4486,O157:H7,undefined,undefined,undefined,undefined
public_2714524,genbank: APZC00000000.1,P0302308.13,P0302308.13,undefined,undefined,Homo sapiens (human),P0302308.13,undefined,2011-03-01,Stool,undefined,Bangladesh
public_2783712,genbank: CCQW00000000.1,NA Str. E. coli (2783712),NA Str. E. coli (2783712),1a,undefined,Homo sapiens (human),29755,NA,2009-07-17,Stool,undefined,Norway
public_2824669,genbank: JHMD00000000.1,O157: Str. 2010EL-2045,O157: Str. 2010EL-2045,1a,2a,undefined,2010EL-2045,O157:NA,undefined,undefined,undefined,United States
public_2716741,genbank: APZK00000000.1,2733950,2733950,undefined,undefined,Homo sapiens (human),2733950,undefined,2007-01-01,Stool,undefined,Bangladesh
public_2733210,genbank: AQDD00000000.1,2872000,2872000,undefined,undefined,Homo sapiens (human),2872000,undefined,2008-01-01,Stool,undefined,Bangladesh
public_2787836,genbank: JDWT00000000.1,4552-1,4552-1,undefined,undefined,Homo sapiens (human),4552-1,undefined,2003-01-01,peri-anal swab culture,undefined,"Maryland, USA"
public_2849328,genbank: JNMF00000000.1,3-267-03_S3_C1,3-267-03_S3_C1,undefined,undefined,Homo sapiens (human),3-267-03_S3_C1,undefined,2009-04-16,Stool,undefined,Tanzania
public_2770108,genbank: AZJL00000000.1,HVH 83 (4-2051087),HVH 83 (4-2051087),undefined,undefined,Homo sapiens (human),HVH 83 (4-2051087),undefined,2003-01-01,Blood,Urinary tract infection (cystitis),Denmark
public_2594579,genbank: AIBC00000000.1,C497_10,C497_10,undefined,undefined,Homo sapiens (human),C497_10,undefined,undefined,Stool,undefined,Denmark
public_2730922,genbank: AQCQ00000000.1,MP021017.5,MP021017.5,undefined,undefined,Homo sapiens (human),MP021017.5,undefined,2011-03-01,Stool,undefined,Bangladesh
public_2867252,genbank: JNRN00000000.1,2-474-04_S4_C3,2-474-04_S4_C3,undefined,undefined,Homo sapiens (human),2-474-04_S4_C3,undefined,2009-07-16,Stool,undefined,Tanzania
public_2780130,genbank: CCQD00000000.1,26 Str. E. coli (2780130),26 Str. E. coli (2780130),1a,undefined,Homo sapiens (human),E. coli,26,2009-07-20,Stool,undefined,Norway
public_2766152,genbank: AYNH00000000.1,LAU-EC8,LAU-EC8,undefined,undefined,Homo sapiens (human),LAU-EC8,undefined,2013-01-01,gastrointestinal,undefined,"Byblos, Lebanon"
public_2728708,genbank: AQCA00000000.1,p0305293.5,p0305293.5,undefined,undefined,Homo sapiens (human),p0305293.5,undefined,undefined,Stool,undefined,Bangladesh
public_2863019,genbank: JNQQ00000000.1,2-316-03_S3_C2,2-316-03_S3_C2,undefined,undefined,Homo sapiens (human),2-316-03_S3_C2,undefined,2009-04-24,Stool,undefined,Tanzania
public_2683070,genbank: ANUU00000000.1,KTE86,KTE86,undefined,undefined,Homo sapiens (human),KTE86,undefined,2009-01-01,undefined,undefined,Denmark
public_2609607,genbank: AJMD00000000.1,NCCP15658,NCCP15658,1a,2c,Homo sapiens (human),NCCP:15658,undefined,2004-01-01,Stool,undefined,South Korea
public_2726937,genbank: AQBQ00000000.1,P0305260.7,P0305260.7,undefined,undefined,Homo sapiens (human),P0305260.7,undefined,undefined,Stool,undefined,Bangladesh
public_2606957,genbank: AIGJ00000000.1,DEC8E,DEC8E,1a,undefined,Homo sapiens (human),DEC8E,O111:H8,1965-01-01,undefined,undefined,Denmark
public_2712330,genbank: APYR00000000.1,P0299917.8,P0299917.8,undefined,undefined,Homo sapiens (human),P0299917.8,undefined,2011-03-01,Stool,undefined,Bangladesh
public_2682381,genbank: ANUF00000000.1,KTE55,KTE55,undefined,undefined,Homo sapiens (human),KTE55,undefined,2010-01-01,undefined,undefined,Denmark
public_2826139,genbank: JHML00000000.1,O121:H19 Str. 2010C-4966,O121:H19 Str. 2010C-4966,undefined,2a,undefined,2010C-4966,O121:H19,undefined,undefined,undefined,United States
public_2789478,genbank: JHDF00000000.1,1-176-05_S3_C2,1-176-05_S3_C2,undefined,undefined,Homo sapiens (human),1-176-05_S3_C2,undefined,2009-04-11,Stool,undefined,Tanzania
public_2651862,genbank: AMUA00000000.1,PA4,PA4,1a,2a,Homo sapiens (human),PA4,O157:H7,2007-01-01,undefined,undefined,United States
public_2806597,genbank: JHHZ00000000.1,O157:H7 Str. K5806,O157:H7 Str. K5806,1a,undefined,undefined,K5806,O157:H7,undefined,undefined,undefined,United States
public_2608179,genbank: AIHB00000000.1,DEC12B,DEC12B,undefined,undefined,Homo sapiens (human),DEC12B,O111:H2,1956-01-01,undefined,undefined,"Florida, USA"
public_2821837,genbank: JHLP00000000.1,O156:H25 Str. 2011C-3602,O156:H25 Str. 2011C-3602,1a,undefined,undefined,2011C-3602,O156:H25,undefined,undefined,undefined,United States
public_2550213,genbank: ABHM00000000.2,O157:H7 Str. EC4042,O157:H7 Str. EC4042,undefined,2a,undefined,EC4042,O157:H7,undefined,undefined,undefined,undefined
public_2604088,genbank: AIEW00000000.1,DEC1B,DEC1B,undefined,undefined,Homo sapiens (human),DEC1B,O55:H6,1958-01-01,undefined,undefined,Suriname
public_2854349,genbank: JNNL00000000.1,O91:H21 Str. P.231,O91:H21 Str. P.231,undefined,2d,undefined,P.231,O91:H21,undefined,food (pork),undefined,"Washington, USA"
public_2804513,genbank: JHHN00000000.1,O111:NM Str. K6904,O111:NM Str. K6904,1a,2a,undefined,K6904,O111:NM,undefined,undefined,undefined,United States
public_2714184,genbank: APZA00000000.1,P0302308.11,P0302308.11,undefined,undefined,Homo sapiens (human),P0302308.11,undefined,2011-03-01,Stool,undefined,Bangladesh
public_2568440,genbank: ADWU00000000.1,MS 119-7,MS 119-7,undefined,undefined,Homo sapiens (human),MS 119-7,undefined,undefined,Intestine,Crohn's Disease,undefined
public_2640385,genbank: AKML00000000.1,EC4437,EC4437,undefined,2a,Homo sapiens (human),EC4437,O157:H7,2006-01-01,undefined,undefined,United States
public_2795676,genbank: JHFS00000000.1,O145:NM Str. 2010C-3511,O145:NM Str. 2010C-3511,undefined,2a,undefined,2010C-3511,O145:NM,undefined,undefined,undefined,United States
public_2881124,genbank: JOSN00000000.1,2-222-05_S3_C2,2-222-05_S3_C2,undefined,undefined,Homo sapiens (human),2-222-05_S3_C2,undefined,2009-04-23,Stool,undefined,Tanzania
public_2732676,genbank: AQCZ00000000.1,BCE019_MS-13,BCE019_MS-13,undefined,undefined,Homo sapiens (human),BCE019_MS-13,undefined,2003-01-01,Stool,undefined,Bangladesh
public_2847811,genbank: JMVR00000000.1,UCI 51,UCI 51,undefined,undefined,Homo sapiens (human),UCI 51,undefined,2013-01-01,Urine,undefined,"California, USA"
public_2817262,genbank: JHKS00000000.1,O157:H7 Str. 2011EL-2101,O157:H7 Str. 2011EL-2101,undefined,undefined,undefined,2011EL-2101,O157:H7,undefined,undefined,undefined,United States
public_2637749,genbank: AKMG00000000.1,EC4422,EC4422,1a,2a,Allium cepa (common onion),EC4422,O157:H7,2006-01-01,undefined,undefined,United States
public_2813979,genbank: JHKB00000000.1,O157:H7 Str. 2011EL-2312,O157:H7 Str. 2011EL-2312,undefined,undefined,undefined,2011EL-2312,O157:H7,undefined,undefined,undefined,United States
public_2861388,genbank: JNQF00000000.1,2-177-06_S3_C2,2-177-06_S3_C2,undefined,undefined,Homo sapiens (human),2-177-06_S3_C2,undefined,2009-04-24,Stool,undefined,Tanzania
public_2710609,genbank: APYJ00000000.1,P02997067.6,P02997067.6,undefined,undefined,Homo sapiens (human),P02997067.6,undefined,2011-03-01,Stool,undefined,Bangladesh
public_2739683,genbank: AQGG00000000.1,2846750,2846750,undefined,undefined,Homo sapiens (human),2846750,undefined,2008-01-01,Stool,undefined,Bangladesh
public_2766377,genbank: AYNJ00000000.1,LAU-EC10,LAU-EC10,undefined,undefined,Homo sapiens (human),LAU-EC10,undefined,2013-01-01,gastrointestinal,undefined,"Byblos, Lebanon"
public_2744494,genbank: ATEY00000000.1,CE549,CE549,undefined,undefined,undefined,CE549,undefined,2006-03-01,undefined,undefined,"Dhaka, Bangladesh"
public_2718296,genbank: APZT00000000.1,P0301867.13,P0301867.13,undefined,undefined,Homo sapiens (human),P0301867.13,undefined,2011-03-01,Stool,undefined,Bangladesh
public_2606489,genbank: AIGD00000000.1,DEC7D,DEC7D,undefined,undefined,Sus scrofa (pig),DEC7D,O157:H43,1983-01-01,undefined,undefined,"Nebraska, USA"
public_2574137,genbank: AFST00000000.1,O104:H4 Str. C227-11 (2574137),O104:H4 Str. C227-11 (2574137),undefined,2a,Homo sapiens (human),C227-11,O104:H4,2011-05-18,Stool,Bloody diarrhea,Denmark
public_2731513,genbank: AQCU00000000.1,MP021017.12,MP021017.12,undefined,undefined,Homo sapiens (human),MP021017.12,undefined,2011-03-01,Stool,undefined,Bangladesh
public_2847657,genbank: JMVO00000000.1,CHS 77,CHS 77,undefined,undefined,Homo sapiens (human),CHS 77,undefined,2013-09-15,Urine,undefined,"North Carolina, USA"
public_2739533,genbank: AQFI00000000.1,BCE008_MS-13,BCE008_MS-13,undefined,undefined,Homo sapiens (human),BCE008_MS-13,undefined,2003-01-01,Stool,Asymptomatic,Bangladesh
public_2630507,genbank: AKLP00000000.1,PA39,PA39,undefined,undefined,Homo sapiens (human),PA39,O157:H7,2008-01-01,undefined,undefined,United States
public_2833370,genbank: JHNV00000000.1,O119:H4 Str. 03-3458,O119:H4 Str. 03-3458,1a,2a,undefined,03-3458,O119:H4,undefined,undefined,undefined,United States
public_2761922,genbank: AXTW00000000.1,908632,908632,undefined,undefined,Homo sapiens (human),908632,undefined,undefined,undefined,undefined,undefined
public_2713269,genbank: APYX00000000.1,P0301867.7,P0301867.7,undefined,undefined,Homo sapiens (human),P0301867.7,undefined,2011-03-01,Stool,undefined,Bangladesh
public_2749059,genbank: AVCD00000000.1,O157:H7 Str. F8092B,O157:H7 Str. F8092B,undefined,2c,Homo sapiens (human),F8092B,O157:H7,undefined,undefined,undefined,undefined
public_2751399,genbank: AVRP00000000.1,T924_01,T924_01,undefined,2c,Bos taurus (cow),T924_01,O157:H7,2001-01-01,undefined,undefined,Sweden
public_2837252,genbank: JJLK00000000.1,1-392-07_S4_C2,1-392-07_S4_C2,undefined,undefined,Homo sapiens (human),1-392-07_S4_C2,undefined,2009-07-03,Stool,undefined,Tanzania
public_2642035,genbank: AKMQ00000000.1,EC1863,EC1863,undefined,undefined,Homo sapiens (human),EC1863,O157:H7,2007-01-01,undefined,undefined,United States
public_2739223,genbank: AQFC00000000.1,Envira 8/11,Envira 8/11,undefined,undefined,Homo sapiens (human),Envira 8/11,undefined,1998-01-01,Stool,undefined,Brazil
public_2588563,genbank: AIAK00000000.1,8624,8624,undefined,2a,Homo sapiens (human),8624,undefined,undefined,Stool,undefined,United States
public_2581084,genbank: AGTL00000000.1,O145:H28 Str. 4865/96,O145:H28 Str. 4865/96,undefined,2a,Homo sapiens (human),4865/96,O145:H28,1996-01-01,patient with hemolytic uremic syndrome (HUS),Hemolytic-uremic syndrome,Germany
public_2786451,genbank: CP003109.1,O55:H7 Str. RM12579,O55:H7 Str. RM12579,undefined,undefined,Homo sapiens (human),RM12579,O55:H7,1974-12-01,Urine,undefined,"California, USA"
public_2850669,genbank: JNMP00000000.1,3-267-03_S1_C1,3-267-03_S1_C1,undefined,undefined,Homo sapiens (human),3-267-03_S1_C1,undefined,2009-01-16,Stool,undefined,Tanzania
public_2785636,genbank: CCVQ00000000.1,145 Str. E. coli (2785636),145 Str. E. coli (2785636),1a,undefined,Homo sapiens (human),29755,145,2010-09-01,Stool,undefined,Norway
public_2681111,genbank: ANTI00000000.1,KTE201,KTE201,undefined,undefined,Homo sapiens (human),KTE201,undefined,2010-01-01,undefined,undefined,undefined
public_2684948,genbank: ANWZ00000000.1,KTE197,KTE197,undefined,undefined,Homo sapiens (human),KTE197,undefined,2010-01-01,undefined,undefined,undefined
public_2646285,genbank: AMTL00000000.1,10.0869,10.0869,undefined,2c,Bos taurus (cow),10.0869,O157:H7,2010-01-01,undefined,undefined,United States
public_2680641,genbank: ANMF00000000.1,99.0713,99.0713,1a,2a,Bos taurus (cow),99.0713,O157:H7,1999-01-01,undefined,undefined,United States
public_2864445,genbank: JNRA00000000.1,2-427-07_S4_C2,2-427-07_S4_C2,undefined,undefined,Homo sapiens (human),2-427-07_S4_C2,undefined,2009-07-15,Stool,undefined,Tanzania
public_2870331,genbank: JOMV00000000.1,8-415-05_S4_C3,8-415-05_S4_C3,undefined,undefined,Homo sapiens (human),8-415-05_S4_C3,undefined,2009-07-20,Stool,undefined,Tanzania
public_2757436,genbank: AXTF00000000.1,907700,907700,undefined,undefined,Homo sapiens (human),907700,undefined,undefined,undefined,undefined,undefined
public_2681730,genbank: ANTV00000000.1,KTE230,KTE230,undefined,undefined,Homo sapiens (human),KTE230,undefined,2010-01-01,undefined,undefined,undefined
public_2684384,genbank: ANWK00000000.1,KTE141,KTE141,undefined,undefined,Homo sapiens (human),KTE141,undefined,2010-01-01,undefined,undefined,Denmark
public_2569406,genbank: AEUA00000000.1,O55:H7 Str. 3256-97,O55:H7 Str. 3256-97,undefined,undefined,undefined,3256-97 TW 07815,O55:H7,1997-01-01,undefined,undefined,undefined
public_2715858,genbank: APZI00000000.1,p0305293.13,p0305293.13,undefined,undefined,Homo sapiens (human),p0305293.13,undefined,undefined,Stool,undefined,Bangladesh
public_2647483,genbank: AMTP00000000.1,FRIK920,FRIK920,1a,2c,Bos taurus (cow),FRIK920,O157:H7,1996-01-01,undefined,undefined,United States
public_2849509,genbank: JNMG00000000.1,3-373-03_S3_C1,3-373-03_S3_C1,undefined,undefined,Homo sapiens (human),3-373-03_S3_C1,undefined,2009-04-16,Stool,undefined,Tanzania
